f, RPR, RBV, F_last, Recl_last
108808,0.842656,0.866003,0.110803,256003
108808,0.842656,0.866003,0.110803,256003
108807,0.842656,0.866003,0.110803,256003
108805,0.842656,0.865998,0.110803,256001
108785,0.842654,0.865949,0.110804,255988
108586,0.842642,0.865462,0.110814,255848
106604,0.842515,0.860611,0.110916,254460
88465.2,0.841206,0.813639,0.111935,240987
57761.2,0.818894,0.725716,0.140303,160725
36817.2,0.783971,1.03137,0.236492,109484
29014.7,0.79541,0.933515,0.203872,122214
121395,0.781234,0.982744,0.336299,134837
22850.5,0.793668,0.941017,0.225788,124693
20528.1,0.789668,0.888057,0.255625,151982
18476.4,0.787244,0.836155,0.266085,195957
19991.6,0.786777,0.750979,0.264164,258482
17710,0.78715,0.80294,0.26537,217181
16947.8,0.784185,0.775077,0.255866,237967
15997.1,0.782605,0.774848,0.241445,252934
15384.4,0.789589,0.731877,0.223052,256725
14397.2,0.791347,0.745187,0.215368,257039
13630.9,0.802818,0.810779,0.204935,277519
12986.8,0.821494,0.820097,0.190544,294093
12273.6,0.830962,0.892732,0.172449,304517
11311.6,0.837788,0.949222,0.145205,320089
10814.7,0.856935,1.09558,0.119113,372454
10292.5,0.874345,1.30887,0.110334,418157
10187.1,0.875518,1.34313,0.0963061,412680
10047.7,0.877251,1.33166,0.0936488,406521
9837.25,0.882326,1.4359,0.0919898,415628
9527.03,0.886944,1.50775,0.0881942,416621
9094.21,0.898953,1.68589,0.0823811,387243
8801.52,0.909832,1.97328,0.0731663,324730
8535.9,0.919622,2.20435,0.0683193,282897
8222.09,0.924678,2.43694,0.063386,240140
7889.45,0.935723,2.84807,0.0612337,201997
7602.26,0.939938,3.09865,0.0594259,170680
7216.74,0.941657,3.29792,0.0573144,160580
6875.05,0.945025,3.43253,0.0531312,161299
6503,0.947073,3.45042,0.0498961,165588
6257.79,0.949804,3.74807,0.0464544,160454
6273.17,0.95051,3.78787,0.0472533,154033
6135.16,0.950174,3.76737,0.0468465,157258
6011.67,0.951244,3.77747,0.0480883,156314
6049.3,0.95048,3.8959,0.0499193,154452
5954.59,0.950932,3.81857,0.0489082,155467
5947.49,0.950471,3.73338,0.0492739,175482
5934.21,0.950266,3.70925,0.0491858,181534
5912.43,0.950357,3.70659,0.0489861,187809
5882.15,0.950698,3.74399,0.048566,192775
5842.01,0.951394,3.84072,0.0478475,188693
5785.23,0.952239,3.93367,0.0467098,177093
5722.7,0.953478,3.9955,0.0460904,166034
5653.78,0.953588,4.01408,0.0459742,153883
5592.42,0.952272,3.92679,0.0477868,151250
5542.86,0.949593,3.6585,0.0503523,157729
5598.94,0.94649,3.42837,0.0546132,172492
5526.7,0.948594,3.57999,0.0516877,162349
5510.18,0.94716,3.48052,0.0528689,172089
5517.41,0.946547,3.45205,0.0538482,175632
5503.71,0.946907,3.46833,0.0532736,173552
5497.35,0.947164,3.49063,0.05316,170409
5494.64,0.947834,3.52402,0.0528131,168949
5491.19,0.948,3.53804,0.0524061,170369
5490.85,0.948303,3.55921,0.0514827,174763
5490.04,0.948364,3.56153,0.0513873,176492
5489.05,0.948542,3.5708,0.0511892,177364
5487.94,0.948771,3.59181,0.0511198,176421
5486.6,0.948896,3.59816,0.0509444,177385
5485.54,0.948967,3.59736,0.0508265,180397
5484.02,0.948984,3.59849,0.0507674,182441
5481.82,0.949098,3.61072,0.0507129,184837
5478.41,0.949301,3.62724,0.0504855,185646
5478.41,0.949691,3.66062,0.0500706,185829
5477.25,0.950098,3.69489,0.0491276,201983
5477.31,0.950558,3.73383,0.0486504,205022
5476.61,0.9508,3.75455,0.048334,206819
5475.89,0.9512,3.79424,0.0478729,211653
5474.41,0.952087,3.8756,0.0467715,216453
5472.2,0.952855,3.94641,0.0459417,224932
5468.41,0.953584,4.01235,0.0453071,220655
5461.55,0.954384,4.09265,0.0442484,231778
5449.23,0.955004,4.15022,0.0434961,234964
5427.1,0.954598,4.10728,0.0442316,222224
5385.19,0.952604,3.91226,0.0463758,215837
5308.63,0.951611,3.8389,0.0476682,190907
5162.94,0.951567,3.82167,0.0475941,194894
4563.78,0.95111,3.6931,0.046925,235094
4150.03,0.941606,3.07698,0.0560082,142536
1.12854e+06,0.0129158,0.00305159,3.23173,23590.3
18158,0.709577,0.458998,0.317319,74245.1
4155.74,0.937827,2.86542,0.0599144,139012
4148.33,0.94046,3.00976,0.057191,141434
4144.91,0.940565,3.01595,0.0570643,141865
4112.2,0.941602,3.07848,0.0558133,146252
3931.62,0.950862,3.77665,0.0447812,198349
3746.43,0.948498,3.51809,0.0474201,209964
3601.01,0.959136,4.55454,0.0352168,392824
3866.37,0.963213,5.17581,0.0294373,826467
8148.02,0.96189,4.95267,0.0312912,640883
3646.41,0.959177,4.55992,0.0351575,395562
