f, RPR, RBV, F_last, Recl_last
74891.2,0.854842,0.909915,0.110803,334369
74891.2,0.854842,0.909915,0.110803,334369
74891,0.854842,0.909915,0.110803,334370
74889,0.854842,0.909915,0.110803,334381
74869,0.854841,0.909914,0.110803,334492
74671,0.854836,0.909909,0.110803,335604
72870.4,0.854786,0.909856,0.110805,346927
68889.9,0.854426,0.909473,0.110157,346533
36027.3,0.850611,0.905412,0.103879,342618
384135,0.815475,0.868012,0.160581,925064
35686.6,0.849161,0.903868,0.106357,361585
35237.5,0.851123,0.905956,0.105622,366805
33674.3,0.859353,0.914717,0.0987755,394735
109226,0.921281,0.980635,0.0508092,820432
30445.6,0.874468,0.930805,0.086493,456548
228449,0.940958,1.00158,0.0389224,1.01357e+06
30246.2,0.877383,0.933908,0.0842988,468296
29874,0.884717,0.941715,0.0787602,495463
29311.2,0.896369,0.954118,0.0698834,551300
28904.9,0.906918,0.965346,0.0611761,639850
30285.4,0.918093,0.977242,0.0535101,704103
28824.9,0.909171,0.967744,0.0596205,651714
28807.8,0.909423,0.968013,0.0595055,659138
28859.5,0.909038,0.967602,0.0595593,660782
28804.4,0.909347,0.967931,0.0595162,659465
28818.2,0.909584,0.968183,0.0593227,660980
28803.9,0.909385,0.967972,0.0594846,659711
28803.1,0.909402,0.96799,0.0594768,659846
28801.6,0.909392,0.96798,0.0594818,659843
28787.3,0.909294,0.967875,0.0595312,659812
28755.7,0.90924,0.967818,0.0595537,659684
28443.1,0.908697,0.96724,0.0597793,658409
25634,0.903094,0.961275,0.0620843,645784
19839.2,0.899142,0.957069,0.0637745,619951
184825,0.966284,1.02854,0.0229171,571692
19679.8,0.902279,0.960408,0.0620956,618687
43126.3,0.931239,0.991234,0.0387492,616233
19678.7,0.9025,0.960644,0.0619089,618671
19676.8,0.902487,0.96063,0.0619006,618628
19672.9,0.902468,0.960609,0.0619166,618551
19634.3,0.902275,0.960405,0.0620768,617777
19274.3,0.900329,0.958333,0.063703,610090
18488.1,0.897736,0.955573,0.0653731,594691
12694.2,0.86813,0.92406,0.0847809,460381
221788,0.862306,0.91786,0.020896,294521
12549.5,0.86845,0.9244,0.0824331,456432
43216.4,0.880877,0.937627,0.113067,450639
12548.8,0.86852,0.924475,0.0825505,456406
12547.6,0.868445,0.924394,0.082633,456405
12545.2,0.868438,0.924387,0.0826367,456413
12521.2,0.868369,0.924313,0.0826741,456499
12287.3,0.867672,0.923572,0.0830486,457360
10606.5,0.860372,0.915801,0.0868898,466054
7211.88,0.865878,0.921662,0.0816083,481463
85111,0.861352,0.916844,0.0444245,514398
7082.99,0.866165,0.921968,0.0797981,482628
50786.7,0.836641,0.890542,0.153198,483952
7082.62,0.86611,0.921909,0.0799396,482631
7081.98,0.866063,0.921859,0.08002,482630
7080.71,0.866062,0.921858,0.0800241,482628
7068.01,0.866059,0.921854,0.0800653,482612
6944.64,0.866019,0.921812,0.0804778,482456
6070.28,0.865485,0.921244,0.0847251,480894
4312.02,0.865115,0.92085,0.0827869,478365
244708,0.736738,0.784203,0.0603774,474432
4302.43,0.864995,0.920723,0.0826664,478347
6740.47,0.876252,0.932705,0.0964636,478332
4302.4,0.865047,0.920778,0.082716,478346
4302.32,0.865044,0.920775,0.0827101,478346
4301.59,0.865018,0.920747,0.0826507,478343
4295.45,0.864752,0.920463,0.0820595,478316
4281.57,0.864745,0.920457,0.0820605,478252
4145.41,0.864681,0.920388,0.0820709,477620
3038.43,0.863958,0.919619,0.0821745,471340
5216.92,0.839107,0.893167,0.0755261,458543
2705.19,0.858733,0.914056,0.0803538,467910
861608,0.374154,0.398258,4.77507,456832
2705.16,0.8588,0.914128,0.0804415,467908
2705.1,0.858796,0.914124,0.0804354,467907
2704.55,0.858763,0.914089,0.0803749,467894
2701.26,0.858427,0.913731,0.0797724,467767
2693.47,0.858394,0.913696,0.0798025,467593
2617.57,0.858061,0.913341,0.0801037,465864
2056.36,0.8546,0.909658,0.0831802,448922
1686.49,0.840278,0.894413,0.0934842,403742
1512.43,0.818716,0.871462,0.108718,353935
1319,0.792824,0.843902,0.12789,309443
1215.91,0.780078,0.830335,0.136621,295658
1204.17,0.764995,0.81428,0.147897,276674
1194.24,0.770657,0.820306,0.143559,283944
1190.44,0.767777,0.817241,0.14579,280396
1183.79,0.763094,0.812257,0.149416,275117
1173.43,0.752219,0.800681,0.15795,263411
1164.17,0.737676,0.785201,0.169644,249531
1161.76,0.733745,0.781017,0.1728,246424
1161.37,0.729554,0.776556,0.176253,242739
1161.24,0.73094,0.778031,0.175104,244006
1161.2,0.731495,0.778621,0.174655,244484
1161.19,0.731855,0.779004,0.174366,244779
1161.18,0.731822,0.778969,0.174393,244749
1161.18,0.73176,0.778904,0.174443,244696
1161.18,0.731704,0.778844,0.174488,244649
1161.18,0.731651,0.778787,0.174531,244606
1161.17,0.731592,0.778725,0.174578,244558
1161.15,0.73152,0.778648,0.174636,244499
1161.14,0.731435,0.778558,0.174703,244431
1161.12,0.731464,0.778589,0.174678,244457
1161.09,0.731543,0.778673,0.174614,244525
1161.05,0.73169,0.778829,0.174496,244647
1161.01,0.731998,0.779157,0.174248,244902
1161,0.732048,0.779211,0.174207,244942
1160.98,0.73207,0.779234,0.174189,244957
1160.95,0.732009,0.779169,0.174239,244904
1160.9,0.73185,0.778999,0.174368,244769
1160.86,0.731593,0.778726,0.174577,244554
1160.91,0.731388,0.778508,0.174745,244383
1160.83,0.731494,0.77862,0.174658,244470
1160.82,0.731553,0.778684,0.17461,244523
1160.79,0.731723,0.778865,0.174473,244669
1160.77,0.731947,0.779103,0.174291,244859
1160.75,0.732119,0.779286,0.174151,245005
1160.73,0.732139,0.779307,0.174134,245023
1160.72,0.732095,0.77926,0.174169,244986
1160.72,0.73211,0.779276,0.174157,244999
1160.7,0.731952,0.779108,0.174285,244864
1160.67,0.731726,0.778867,0.174468,244672
1160.65,0.731611,0.778745,0.174562,244573
1160.62,0.731516,0.778644,0.174639,244491
1160.61,0.731531,0.77866,0.174628,244501
1160.6,0.731526,0.778654,0.174632,244497
1160.57,0.731634,0.77877,0.174544,244589
1160.54,0.731828,0.778976,0.174387,244754
1160.59,0.732038,0.7792,0.174218,244932
1160.51,0.731925,0.779079,0.174309,244836
1160.5,0.731941,0.779097,0.174296,244850
1160.47,0.731909,0.779062,0.174321,244824
1160.46,0.73184,0.778989,0.174376,244769
1160.45,0.731866,0.779017,0.174356,244790
1160.42,0.731793,0.778939,0.174415,244729
1160.38,0.731713,0.778853,0.174479,244661
1160.42,0.731635,0.77877,0.174542,244595
1160.36,0.731673,0.778812,0.174511,244628
1160.34,0.731702,0.778842,0.174488,244652
1160.31,0.731777,0.778922,0.174427,244713
1160.29,0.731861,0.779012,0.17436,244782
1160.28,0.731836,0.778984,0.174381,244761
1160.26,0.731871,0.779022,0.174353,244789
1160.22,0.731864,0.779015,0.174358,244783
1160.17,0.731796,0.778942,0.174414,244726
1160.13,0.731733,0.778875,0.174464,244674
1160.13,0.731747,0.77889,0.174452,244686
1160.12,0.73174,0.778882,0.174459,244681
1160.12,0.731742,0.778885,0.174456,244683
1160.11,0.731749,0.778892,0.174451,244689
1160.09,0.73176,0.778904,0.174442,244699
1160.05,0.731776,0.77892,0.174428,244714
1160.01,0.731805,0.778951,0.174405,244739
1160.36,0.731813,0.77896,0.174399,244745
1159.99,0.731807,0.778954,0.174403,244740
1159.97,0.731801,0.778947,0.174409,244734
1159.93,0.731782,0.778927,0.174425,244716
1159.88,0.731743,0.778886,0.174456,244682
1159.97,0.731699,0.778839,0.174493,244642
1159.85,0.731724,0.778865,0.174473,244664
1159.83,0.731731,0.778872,0.174467,244671
1159.8,0.731752,0.778896,0.174449,244691
1159.76,0.731772,0.778916,0.174432,244711
1159.71,0.731794,0.77894,0.174413,244733
1159.98,0.731799,0.778945,0.174409,244740
1159.68,0.731796,0.778942,0.174412,244735
1159.66,0.731771,0.778915,0.174432,244712
1159.62,0.731726,0.778867,0.17447,244670
1159.58,0.731673,0.778811,0.174514,244621
1160.29,0.731622,0.778757,0.174557,244572
1159.57,0.731663,0.778801,0.174523,244611
1159.55,0.731663,0.778801,0.174523,244611
1159.53,0.731673,0.778811,0.174515,244620
1159.51,0.731689,0.778828,0.174501,244636
1159.48,0.731703,0.778843,0.174489,244650
1159.45,0.731714,0.778855,0.174479,244664
1159.44,0.731694,0.778833,0.174495,244648
1159.43,0.731682,0.77882,0.174506,244637
1159.41,0.731656,0.778793,0.174527,244614
1159.41,0.731616,0.778751,0.17456,244577
1159.41,0.731631,0.778767,0.174548,244591
1159.4,0.731623,0.778758,0.174555,244583
1159.4,0.731619,0.778753,0.174559,244577
1159.4,0.731614,0.778748,0.174563,244573
1159.4,0.731616,0.77875,0.174561,244575
1159.39,0.731617,0.778751,0.17456,244576
1159.39,0.731617,0.778751,0.17456,244577
1159.39,0.731616,0.77875,0.174561,244577
1159.39,0.731615,0.77875,0.174561,244576
1159.39,0.731615,0.778749,0.174562,244576
1159.39,0.731614,0.778748,0.174562,244576
1159.39,0.731613,0.778748,0.174563,244575
1159.39,0.731612,0.778747,0.174563,244574
1159.39,0.731611,0.778745,0.174564,244574
1159.39,0.731609,0.778743,0.174566,244572
1159.39,0.731607,0.77874,0.174568,244571
1159.39,0.731603,0.778736,0.174571,244568
1159.39,0.731603,0.778736,0.174571,244568
1159.39,0.731603,0.778736,0.174571,244568
1159.37,0.731599,0.778734,0.174571,244568
1159.18,0.731567,0.77871,0.174571,244567
1157.46,0.731246,0.778468,0.174571,244557
1155.67,0.730874,0.778263,0.174566,243616
1152.54,0.729583,0.776841,0.174582,242880
1147.03,0.72704,0.774523,0.174761,241772
1137.7,0.724858,0.771266,0.175305,241286
1124.65,0.719116,0.768333,0.176539,239984
1118.85,0.7132,0.758003,0.177949,238566
1113.14,0.712964,0.754659,0.178428,238421
1106.05,0.714213,0.765724,0.178907,238744
1096.38,0.714688,0.76893,0.178711,236299
1087.31,0.714368,0.771463,0.177973,231511
1088.94,0.715029,0.785543,0.178054,228559
1083.12,0.714679,0.777886,0.17801,230146
1079.35,0.714741,0.781411,0.178745,229150
1073.63,0.713049,0.781748,0.179447,226970
1064.23,0.710068,0.7852,0.180391,222814
1052.47,0.706262,0.7884,0.181363,214668
1050.9,0.70464,0.817965,0.181862,203528
1046.04,0.705361,0.804069,0.181633,208571
1038.31,0.703835,0.81171,0.180849,199937
1025.48,0.703691,0.830291,0.180553,191218
1004.85,0.704952,0.860724,0.180876,179947
1002.32,0.70704,0.910581,0.182575,163249
993.077,0.705969,0.887325,0.181805,170596
982.513,0.704095,0.91114,0.18057,156789
972.799,0.706434,0.946299,0.181335,148777
963.493,0.70678,0.967561,0.182128,141252
953.309,0.710293,1.00295,0.183681,135471
943.483,0.712191,1.03729,0.183675,128201
943.074,0.714737,1.06513,0.183705,122525
938.414,0.713499,1.05146,0.18369,125256
930.8,0.714031,1.06594,0.183816,123078
926.538,0.714361,1.0738,0.185013,122674
919.789,0.713938,1.07747,0.1855,122815
910.103,0.713103,1.08043,0.185981,123540
916.414,0.710991,1.09135,0.186534,124379
906.306,0.712252,1.08448,0.186196,123866
902.977,0.712125,1.08993,0.187206,126303
908.136,0.708562,1.07648,0.187208,133453
902.039,0.711119,1.08608,0.187207,128280
900.631,0.709741,1.0783,0.187195,131398
900.876,0.707521,1.06697,0.18728,136737
899.982,0.708721,1.07305,0.187234,133831
898.943,0.707649,1.06818,0.187232,136079
897.954,0.706636,1.06543,0.187836,138965
896.358,0.705837,1.06615,0.188048,140419
894.202,0.70544,1.07046,0.188447,140245
891.238,0.705395,1.07934,0.18898,138824
887.79,0.706468,1.09854,0.189367,133691
884.227,0.708805,1.12594,0.190017,126338
889.675,0.711444,1.15951,0.190787,119960
883.167,0.709568,1.13568,0.190244,124423
881.993,0.710338,1.14502,0.189822,124577
880.294,0.710305,1.1477,0.187982,130497
878.21,0.711337,1.15856,0.185205,138088
879.523,0.710613,1.1509,0.187147,132724
878.69,0.711233,1.15635,0.186287,134404
877.02,0.713114,1.17267,0.184279,135750
874.449,0.717078,1.20087,0.18042,136930
872.129,0.720828,1.23662,0.175039,140306
869.544,0.721351,1.24073,0.173537,146570
867.172,0.718707,1.22251,0.174563,149180
863.674,0.714232,1.19989,0.180875,141213
871.458,0.699115,1.12516,0.201354,118434
862.847,0.710677,1.18171,0.185572,135406
861.938,0.701593,1.14266,0.195414,126409
860.987,0.684248,1.06278,0.212003,121072
859.773,0.665248,0.985608,0.232514,108878
860.006,0.633027,0.866046,0.269775,95479.2
859.215,0.650644,0.929059,0.249017,102492
859.028,0.63313,0.86222,0.271898,91976.8
859.333,0.626263,0.840078,0.283639,85325.4
858.976,0.63124,0.856022,0.275091,90091.2
858.932,0.63012,0.853149,0.277876,88185.5
858.861,0.629638,0.851369,0.277569,89063.9
858.721,0.629501,0.851161,0.277745,88999.8
857.604,0.62814,0.849098,0.279511,88361.4
855.211,0.629235,0.855141,0.277593,89393.6
972.289,0.639578,0.914916,0.259923,99859.4
851.83,0.634159,0.882977,0.269081,94209.6
850.38,0.632695,0.874588,0.271592,92747.6
837.703,0.636356,0.905171,0.264036,97840.7
3734.73,0.470062,0.570739,0.52407,43376.3
866.455,0.59423,0.807471,0.318254,78761.3
837.082,0.626907,0.882251,0.275626,93101.3
835.852,0.627861,0.886939,0.274198,93742.1
825.77,0.637383,0.935248,0.2603,100399
810.144,0.646979,0.989978,0.24262,112086
802.545,0.654545,1.0536,0.231935,114313
793.471,0.662363,1.09711,0.224341,116864
786.705,0.65691,1.08617,0.229454,115606
779.005,0.651573,1.0924,0.237763,109922
784.443,0.638947,1.05146,0.255741,98663.2
775.238,0.646027,1.07407,0.245564,104792
769.775,0.637143,1.04934,0.257595,97787.7
765.027,0.625829,1.02431,0.272741,91139.8
761.015,0.638114,1.07265,0.259096,94568.9
758.108,0.637683,1.09386,0.260492,93658.2
754.972,0.633341,1.07408,0.264291,93899
751.59,0.636344,1.08941,0.25851,97815.4
748.679,0.638022,1.11776,0.254884,99982.6
745.815,0.636087,1.11655,0.255748,100856
742.22,0.629755,1.09507,0.262831,98973.1
739.002,0.623211,1.07536,0.269584,98112.7
736.139,0.624949,1.10317,0.267297,98557
734.375,0.623949,1.09738,0.267866,98637
732.445,0.619345,1.07678,0.273604,96278.4
730.132,0.612356,1.05461,0.281312,94408.7
728.842,0.609867,1.06233,0.282726,95247.7
726.921,0.609822,1.05809,0.282634,95373.7
725.512,0.608593,1.05404,0.284439,94022.7
723.899,0.601051,1.02372,0.294483,90594.2
722.518,0.603525,1.03265,0.290276,93003.2
722.077,0.607924,1.05455,0.282142,97837.8
721.289,0.607226,1.05116,0.28313,97315.9
719.999,0.603517,1.03434,0.287917,95615.4
717.942,0.604208,1.03433,0.286488,96481.8
715.993,0.593908,0.983473,0.301512,89405
713.715,0.595794,0.985353,0.297978,91701.8
711.831,0.603186,1.00768,0.286206,98172.6
709.723,0.610848,1.03429,0.276701,101577
709.653,0.611218,1.02643,0.279839,97814.4
708.632,0.611032,1.0302,0.278308,99627.6
707.989,0.611983,1.02795,0.278187,99079.1
707.505,0.615713,1.04385,0.274581,99431.6
707.087,0.619632,1.05521,0.271914,98585.3
706.442,0.619758,1.0554,0.274383,95201.1
705.572,0.624051,1.06886,0.273388,91572.7
704.744,0.628394,1.08224,0.274235,85473.5
704.069,0.629779,1.09228,0.275283,81239.2
703.634,0.631091,1.09761,0.274412,80936.5
703.261,0.636114,1.11924,0.26849,82138.2
702.877,0.636732,1.12271,0.266966,83534.4
702.359,0.638344,1.13065,0.264659,84860.9
701.923,0.637176,1.12754,0.264069,87438.2
701.645,0.636915,1.1248,0.26577,86468.4
701.451,0.636014,1.11967,0.267031,86205.6
701.188,0.633448,1.10693,0.269923,86042.1
