f, RPR, RBV, F_last, Recl_last
74859.4,0.854842,0.909915,0.110803,334369
74859.3,0.854842,0.909915,0.110803,334369
74859.1,0.854842,0.909915,0.110803,334370
74857.1,0.854842,0.909915,0.110803,334381
74837.2,0.854841,0.909914,0.110803,334492
74639.2,0.854836,0.909909,0.110803,335604
72838.5,0.854786,0.909856,0.110805,346926
68857.7,0.854427,0.909473,0.110157,346533
35993.5,0.850615,0.905416,0.103875,342625
384382,0.815662,0.868211,0.160435,926277
35650.9,0.849176,0.903884,0.106346,361603
35200.6,0.851154,0.905989,0.105602,366860
33634.2,0.859423,0.914791,0.0987232,394926
109291,0.921557,0.980929,0.0506147,823527
30407.4,0.874586,0.930931,0.0864037,456984
226734,0.941189,1.00182,0.0387687,1.01682e+06
30206.6,0.877534,0.934069,0.0841854,468878
29831.2,0.884881,0.94189,0.0786374,496212
29259,0.896577,0.954339,0.0697257,552510
28854.5,0.907352,0.965808,0.0608407,643231
30241.1,0.918468,0.97764,0.0532539,707207
28775.4,0.909578,0.968177,0.059312,654967
28756.7,0.9098,0.968414,0.0592126,662177
28820.9,0.909424,0.968013,0.0592485,664156
28753.3,0.909731,0.96834,0.0592192,662541
28762.9,0.909984,0.96861,0.0590341,664095
28752.6,0.909783,0.968396,0.0591813,662859
28752,0.909798,0.968412,0.0591765,663019
28750.9,0.90979,0.968403,0.0591805,663016
28740.4,0.909713,0.968321,0.0592199,662989
28690.6,0.908938,0.967496,0.0596146,662716
28568.2,0.908724,0.967268,0.0597041,662228
27394,0.906557,0.964962,0.0606072,657362
20613.6,0.881942,0.938761,0.0704595,610609
8518.27,0.875459,0.931861,0.0729575,550811
544855,0.973589,1.03631,0.0131929,464058
8371.96,0.878748,0.935361,0.0715197,549785
33988.3,0.916342,0.975378,0.0430962,548703
8371.16,0.878994,0.935623,0.071325,549780
8370.18,0.879065,0.935699,0.0712096,549724
8368.21,0.879051,0.935684,0.0712272,549656
8349.27,0.878916,0.93554,0.0714034,548976
8229.96,0.877549,0.934085,0.0731906,542224
7956.16,0.875429,0.931829,0.074629,533050
5944.33,0.852314,0.907224,0.0907089,449370
35563,0.864452,0.920144,0.0509815,336248
5805.15,0.853548,0.908537,0.0875897,441589
17055.2,0.875273,0.931662,0.0896901,434392
5803.51,0.853836,0.908845,0.087614,441505
5826.4,0.851472,0.906328,0.0891757,441429
5803.41,0.85369,0.908689,0.0877111,441500
5803.2,0.853687,0.908685,0.0877168,441500
5801.21,0.853654,0.908651,0.0877741,441503
5787.53,0.853326,0.908302,0.0883494,441534
5755.89,0.853357,0.908334,0.088282,441589
5450.98,0.85366,0.908657,0.0876108,442137
3528.28,0.856627,0.911816,0.0811775,447656
2428.76,0.858522,0.913832,0.0831506,456602
84919.7,0.848307,0.902959,0.141089,459946
2415.67,0.858541,0.913852,0.0836561,456640
6216.26,0.841376,0.895582,0.0807032,456881
2415.63,0.858491,0.913799,0.083646,456641
2415.64,0.858479,0.913787,0.0837007,456640
2415.61,0.858486,0.913794,0.0836703,456641
2415.57,0.858486,0.913794,0.0836699,456640
2415.18,0.858494,0.913802,0.083666,456631
2412.03,0.858566,0.913879,0.0836269,456539
2404.89,0.858514,0.913824,0.0836271,456365
2335.32,0.857991,0.913267,0.0836284,454633
1836.54,0.852635,0.907566,0.0836416,437666
4757.25,0.84794,0.902569,0.121685,411276
1753.98,0.852244,0.90715,0.0882639,433772
112740,0.701824,0.747039,0.0127823,430398
1753.93,0.852201,0.907104,0.0881497,433770
1753.92,0.85227,0.907177,0.0881676,433759
1753.9,0.852269,0.907176,0.0881676,433758
1753.77,0.852263,0.90717,0.0881671,433744
1752.39,0.8522,0.907103,0.0881619,433604
1739.07,0.851569,0.906432,0.0881099,432208
1659.56,0.845114,0.89956,0.0875923,418493
1646.76,0.84011,0.894234,0.0960822,399411
1605.2,0.842382,0.896653,0.0921827,407845
131724,0.456898,0.486334,0.0319353,398401
1605.18,0.842339,0.896607,0.0921451,407841
1605.13,0.842337,0.896604,0.0921465,407835
1604.7,0.842313,0.896579,0.0921601,407776
1600.45,0.842073,0.896324,0.0922963,407187
1561.46,0.839664,0.893759,0.0936701,401343
1481.81,0.832291,0.885911,0.0981048,384415
1346.58,0.815824,0.868383,0.109297,350592
1189.34,0.776651,0.826687,0.13784,289358
1140.7,0.773251,0.823067,0.141542,286984
1120.49,0.760481,0.809475,0.151246,272094
1109.04,0.753454,0.801995,0.15714,264212
1091.96,0.746778,0.794889,0.162785,257782
1069.49,0.725339,0.772069,0.181335,237713
1045.79,0.712437,0.758335,0.191949,228373
1035.4,0.704014,0.74937,0.198375,222848
1031.64,0.697208,0.742125,0.203878,218392
1031.31,0.69828,0.743267,0.202766,219398
1030.88,0.69641,0.741276,0.204493,217977
1030.7,0.695554,0.740365,0.205351,217288
1030.63,0.695208,0.739997,0.205724,217005
1030.59,0.694934,0.739706,0.205988,216816
1030.57,0.694602,0.739352,0.206281,216608
1030.56,0.694303,0.739033,0.206534,216426
1030.56,0.694192,0.738915,0.206625,216360
1030.56,0.694187,0.73891,0.206627,216358
1030.56,0.694197,0.73892,0.206619,216364
1030.56,0.694208,0.738933,0.206609,216371
1030.56,0.694222,0.738947,0.206597,216379
1030.56,0.694238,0.738965,0.206583,216390
1030.55,0.69426,0.738988,0.206565,216403
1030.55,0.694291,0.739021,0.206539,216422
1030.54,0.694333,0.739066,0.206502,216448
1030.52,0.69438,0.739116,0.206458,216476
1030.51,0.69435,0.739083,0.206482,216454
1030.49,0.694306,0.739036,0.20652,216424
1030.45,0.694273,0.739002,0.206553,216404
1030.41,0.694123,0.738842,0.206686,216307
1030.37,0.693969,0.738678,0.206824,216209
1030.36,0.693929,0.738636,0.206853,216188
1030.33,0.693935,0.738642,0.206841,216197
1030.31,0.693947,0.738654,0.206828,216207
1030.27,0.693998,0.738709,0.206784,216241
1030.23,0.694092,0.738809,0.206709,216299
1030.21,0.694211,0.738936,0.206615,216372
1030.2,0.694176,0.738898,0.206643,216350
