f, RPR, RBV, F_last, Recl_last
108808,0.842656,0.866003,0.110803,256003
108808,0.842656,0.866003,0.110803,256003
108807,0.842656,0.866003,0.110803,256003
108805,0.842656,0.865998,0.110803,256001
108785,0.842654,0.865949,0.110804,255988
108586,0.842642,0.865462,0.110814,255848
106604,0.842515,0.860611,0.110916,254460
88465.2,0.841206,0.813639,0.111935,240987
57761.2,0.818894,0.725716,0.140303,160725
36817.2,0.783971,1.03137,0.236492,109484
29014.7,0.79541,0.933515,0.203872,122214
121395,0.781234,0.982744,0.336299,134837
22850.5,0.793668,0.941017,0.225788,124693
20528.1,0.789668,0.888057,0.255625,151982
18476.4,0.787244,0.836155,0.266085,195957
19991.6,0.786777,0.750979,0.264164,258482
17710,0.78715,0.80294,0.26537,217181
16947.8,0.784185,0.775077,0.255866,237967
15997.1,0.782605,0.774848,0.241445,252934
15384.4,0.789589,0.731877,0.223052,256725
14397.2,0.791347,0.745187,0.215368,257039
13630.9,0.802818,0.810779,0.204935,277519
12986.8,0.821494,0.820097,0.190544,294093
12273.6,0.830962,0.892732,0.172449,304517
11311.6,0.837788,0.949222,0.145205,320089
10814.7,0.856935,1.09558,0.119113,372454
10292.5,0.874345,1.30887,0.110334,418157
10187.1,0.875518,1.34313,0.0963061,412680
10047.7,0.877251,1.33166,0.0936488,406521
9837.25,0.882326,1.4359,0.0919898,415628
9527.03,0.886944,1.50775,0.0881942,416621
9094.21,0.898953,1.68589,0.0823811,387243
8801.52,0.909832,1.97328,0.0731663,324730
8535.9,0.919622,2.20435,0.0683193,282897
8222.09,0.924678,2.43694,0.063386,240140
7889.45,0.935723,2.84807,0.0612337,201997
7602.26,0.939938,3.09865,0.0594259,170680
7216.74,0.941657,3.29792,0.0573144,160580
6875.06,0.945025,3.43253,0.0531312,161299
6503,0.947073,3.45042,0.0498961,165588
6257.79,0.949804,3.74807,0.0464544,160454
6273.17,0.95051,3.78787,0.0472533,154033
6135.16,0.950174,3.76737,0.0468465,157258
6011.68,0.951244,3.77747,0.0480883,156314
6049.3,0.95048,3.8959,0.0499193,154452
5954.59,0.950932,3.81857,0.0489082,155467
5947.49,0.950471,3.73338,0.0492739,175482
5934.21,0.950266,3.70925,0.0491858,181534
5912.43,0.950357,3.70659,0.0489861,187809
5882.15,0.950698,3.74399,0.048566,192775
5842.01,0.951394,3.84072,0.0478475,188693
5785.23,0.952239,3.93367,0.0467098,177093
5722.7,0.953478,3.9955,0.0460904,166034
5653.78,0.953588,4.01408,0.0459743,153883
5592.42,0.952272,3.92679,0.0477868,151250
5542.86,0.949593,3.6585,0.0503523,157729
5598.94,0.94649,3.42837,0.0546132,172492
5526.7,0.948594,3.57999,0.0516877,162348
5510.18,0.94716,3.48052,0.0528689,172089
5517.41,0.946547,3.45205,0.0538482,175631
5503.71,0.946907,3.46833,0.0532736,173552
5497.35,0.947164,3.49063,0.05316,170408
5494.64,0.947834,3.52402,0.0528131,168948
5491.18,0.948,3.53804,0.0524061,170368
5490.85,0.948303,3.5592,0.0514827,174762
5490.04,0.948364,3.56153,0.0513874,176491
5489.05,0.948542,3.57079,0.0511893,177363
5487.94,0.948771,3.59181,0.0511199,176419
5486.6,0.948896,3.59816,0.0509444,177384
5485.54,0.948967,3.59736,0.0508265,180395
5484.02,0.948984,3.59848,0.0507675,182439
5481.82,0.949098,3.61071,0.0507131,184835
5478.41,0.949301,3.62723,0.0504857,185643
5478.41,0.949691,3.66061,0.0500709,185825
5477.25,0.950097,3.69486,0.0491281,201977
5477.31,0.950558,3.73381,0.0486509,205016
5476.61,0.950799,3.75452,0.0483346,206813
5475.89,0.9512,3.79418,0.0478737,211645
5474.41,0.952086,3.87554,0.0467724,216445
5472.2,0.952854,3.94633,0.0459426,224924
5468.41,0.953584,4.0123,0.0453078,220646
5461.55,0.954383,4.09261,0.0442489,231770
5449.23,0.955003,4.15016,0.0434968,234953
5427.1,0.954598,4.10721,0.0442325,222218
5385.18,0.952603,3.91218,0.0463769,215828
5308.62,0.951611,3.83887,0.0476685,190906
5162.91,0.951565,3.82151,0.0475961,194887
4562.29,0.951093,3.69147,0.046941,235087
4155.52,0.941558,3.07469,0.0560513,142232
3984.03,0.944955,3.25504,0.0529442,167093
1.35699e+06,0.00317949,0.000810217,4.11266,17689.3
3983.91,0.944924,3.25299,0.0529758,167052
3982.72,0.944617,3.23254,0.0532929,166644
3980.1,0.944781,3.24345,0.0531003,167426
3955.85,0.946383,3.35457,0.0512139,175443
3905.26,0.947183,3.41364,0.050116,183994
3812.56,0.949422,3.59626,0.0470995,206884
3916.68,0.953022,3.91396,0.0421917,281587
3783.5,0.950582,3.69264,0.045504,227797
3728.72,0.951714,3.79196,0.0439602,250940
3632.25,0.953263,3.9467,0.041602,308307
