f, RPR, RBV, F_last, Recl_last
75245.9,0.854842,0.909915,0.110803,334369
75245.9,0.854842,0.909915,0.110803,334369
75245.7,0.854842,0.909915,0.110803,334370
75243.7,0.854842,0.909915,0.110803,334381
75223.7,0.854841,0.909914,0.110803,334493
75025.7,0.854836,0.909909,0.110803,335610
73227.8,0.854786,0.909855,0.110805,346995
69252.4,0.854419,0.909465,0.110164,346578
36427.4,0.850533,0.905329,0.103953,342442
381051,0.810097,0.862288,0.16576,893804
36106.9,0.8488,0.903484,0.106634,360881
35680.7,0.850493,0.905286,0.106095,365454
34135.2,0.858293,0.913589,0.0995812,392131
116333,0.917931,0.977069,0.0530838,791687
30969.1,0.872168,0.928358,0.0882437,448564
247752,0.935034,0.995274,0.0422228,975991
30787.3,0.87461,0.930956,0.0863574,458818
30449.6,0.88183,0.938642,0.0808463,484466
29939.2,0.893509,0.951073,0.072058,536547
29599.3,0.903395,0.961596,0.0642132,613659
30005,0.911866,0.970613,0.057621,671042
29483.2,0.906282,0.964669,0.0619478,632098
30143.4,0.906491,0.964892,0.0622781,646397
29468.7,0.906309,0.964698,0.0619903,633924
29472.8,0.90594,0.964306,0.0621626,633600
29462.4,0.906148,0.964527,0.0620655,633782
29476.9,0.906199,0.964581,0.0621074,632585
29461,0.90616,0.964539,0.0620753,633503
29460.5,0.906207,0.964589,0.0621338,633409
29459.6,0.906203,0.964586,0.0621353,633404
29450.5,0.906169,0.964549,0.0621501,633350
29369.1,0.905828,0.964186,0.0622989,632809
29187,0.905539,0.963878,0.0624223,631733
27426.3,0.902601,0.960751,0.0636703,621067
15872.6,0.868062,0.923987,0.0776675,523741
4257.61,0.84418,0.898567,0.0954587,392919
465657,0.979974,1.04311,0.0192544,302479
4083.61,0.849961,0.90472,0.092952,391283
11909.1,0.84999,0.904751,0.0844985,388968
4079.99,0.849971,0.90473,0.0927687,391235
4267.84,0.845652,0.900133,0.0960214,391070
4079.92,0.849892,0.904646,0.0928282,391232
4079.79,0.849872,0.904625,0.0928603,391226
4079.54,0.849864,0.904617,0.0928621,391214
4077.05,0.849793,0.904541,0.092881,391101
4057.47,0.849072,0.903774,0.0930693,389974
4013.73,0.848428,0.903087,0.0935748,388053
3675,0.841848,0.896084,0.0987844,369348
3428.37,0.824398,0.877509,0.109379,338045
29755.3,0.804987,0.856848,0.129023,319808
3426.08,0.824257,0.87736,0.109543,337875
3596.79,0.823123,0.876153,0.110024,337849
3426.05,0.824243,0.877345,0.109549,337875
3426,0.82424,0.877341,0.109551,337876
3425.46,0.824203,0.877303,0.109567,337882
3424.28,0.82421,0.87731,0.109571,337895
3412.48,0.824278,0.877382,0.109609,338019
3300.28,0.824956,0.878104,0.109988,339267
2754.92,0.831332,0.884891,0.113857,352002
2019.75,0.826866,0.880137,0.103751,367010
159734,0.310288,0.330278,1.35343,380985
2017.03,0.826073,0.879293,0.104762,367058
3907.92,0.807237,0.859244,0.116023,366618
2017.02,0.826049,0.879267,0.104777,367057
2017.02,0.826037,0.879255,0.104784,367056
2017,0.826037,0.879254,0.104786,367055
2016.86,0.826034,0.879251,0.104805,367042
2015.5,0.826005,0.87922,0.104997,366917
2005.04,0.825707,0.878903,0.106931,365664
1982.81,0.824202,0.877301,0.107232,363480
2686.28,0.832086,0.885693,0.112574,359191
1982.14,0.824497,0.877615,0.107388,363352
2003.59,0.823854,0.876931,0.105476,363217
1982.12,0.824478,0.877595,0.107331,363348
1982.09,0.824476,0.877593,0.107333,363343
1981.7,0.824449,0.877564,0.107347,363297
1977.86,0.824184,0.877282,0.107492,362834
1941.28,0.82151,0.874436,0.108948,358234
1755.41,0.792946,0.844032,0.124636,315324
3637.12,0.754634,0.803252,0.156329,271411
1733.19,0.789422,0.840281,0.127452,310701
155693,0.787286,0.838007,0.171178,305596
1733.19,0.789422,0.840281,0.127456,310701
1733.18,0.789422,0.84028,0.127456,310700
1733.12,0.789417,0.840275,0.12746,310692
1732.57,0.789367,0.840222,0.127496,310619
1727.1,0.788868,0.839691,0.12786,309886
1678.27,0.783835,0.834334,0.131557,302651
1597.12,0.773497,0.82333,0.140328,288338
1568.42,0.766542,0.815927,0.146938,279128
1567.13,0.762477,0.8116,0.149998,274170
1565.57,0.763879,0.813092,0.148846,275998
1564.75,0.762971,0.812126,0.149521,274975
1563.54,0.760856,0.809874,0.151125,272774
1562.69,0.757239,0.806024,0.153947,268895
1562.52,0.756482,0.805218,0.154544,268227
1562.47,0.756209,0.804928,0.154772,267921
1562.47,0.756429,0.805162,0.154602,268157
1562.47,0.756487,0.805224,0.154557,268215
1562.47,0.75652,0.805258,0.154531,268249
1562.46,0.756548,0.805289,0.154508,268279
1562.46,0.756579,0.805322,0.154484,268311
1562.46,0.756617,0.805363,0.154454,268350
1562.45,0.756669,0.805418,0.154413,268404
1562.44,0.756742,0.805496,0.154355,268479
1562.43,0.756855,0.805616,0.154266,268593
1562.42,0.756796,0.805552,0.154313,268529
1562.4,0.75674,0.805493,0.154357,268469
1562.37,0.756661,0.805409,0.154419,268386
1562.38,0.756514,0.805253,0.154535,268234
1562.35,0.756582,0.805325,0.154482,268304
1562.33,0.756443,0.805177,0.154591,268170
1562.31,0.756291,0.805015,0.154711,268015
1562.31,0.756137,0.804851,0.154833,267852
1562.3,0.756207,0.804926,0.154777,267926
1562.3,0.756202,0.80492,0.154782,267919
